id,title,author_n_surname,creator,publication_year,url,access_date,original_journal,type,genre,technology,computer_languages,accessibility,interaction_level,sensory_experience,textuality,version,versioning,language,metadata_source,preservation_status,licence,one_sentence_description
1,A Study in Conveyance,R. Kendall,person,2000,https://the-next.eliterature.org/works/2340/0/0/,2026-01-24,The New River Journal,Hypertext poetry,Poetry,Web,"CSS, HTML, JavaScript","Graphical Navigation, Observation; Web Browser",Medium,Sight,"linear, modular",1.0,stable,English,ELO directory,Perfect,Copyright © 2000 Robert Kendall All rights reserved,"Two poems, identified as ""duets"": double poems in which two threads are counterpointed against one another (Kendall R.)"
2,A Sky of Cinders,T. Lockridge,person,2007,https://the-next.eliterature.org/works/2331/0/0/,2026-01-24,The New River Journal,"Hypertext fiction, Hypertext Poetry","Poetry, Short Story","Flash plug-in, Web, Ruffle preserved","CSS, HTML","Graphical Navigation, Observation",Medium,"Sight, Sound","non-linear, modular",2.0,updated,English,ELO directory,Partial,"Copyright 2006-2014, The New River. All rights reserved.","A poetic narrative based on hypertextuality. The different modules are connected through keywords, freely explored by the user"
3,Animals are placebos,"C. Bellin, J. L. Smith",collaboration,2008,https://the-next.eliterature.org/works/2298/0/0/,2026-01-24,The New River Journal,Literary games,Narrative,"Flash plu-gin, Web, Ruffle plug-in","CSS, HTML, JavaScript","Geographical Navigation, Selection",Low-Medium,"Sight, Sound","lnear, modular",2.0,updated,English,ELO directory,Perfect,Copyright 2006-2008 New River Journal. All Rights Reserved,The reader has to choose between some pills. Each pill triggers the appearance of a linear text.
4,Arteroids 2.5,J. Andrews,person,2003,https://the-next.eliterature.org/works/359/0/0/,2026-01-24,Poems That GO,"Literary games, Kinetic poetry",Poetry,Playthrough plug-in,unknown,Shockwave plugin,High,"Kinesthetic Involvement, Sight",modular,2.5,multiple versions,English,ELO directory,Perfect,© 1996-2096 by Jim Andrews,A videogame representation of the battle of poetry against itself and dullness
5,Blood Sugar,"S. Daniel, E. Loyer",collaboration,2012,https://the-next.eliterature.org/works/1593/0/0/,2026-01-24,Vectors,Local narrative and installation,Essay,Hypermedia,"PHP, SQL","Flash plugin, Web Browser",High,"Sight, Sound","modular, linear",1.0,stable,English,ELO directory,Perfect,CC some rights reserved,An interactive essay that intertwines literature and contemporary social issues
6,Branded,"K. Pullinger, T. Memmott",collaboration,Unpublished,https://the-next.eliterature.org/works/327/0/0/,2026-01-24,frAme,Interactive fiction,Narrative,"Multimedia, Web",unknown,"Graphical Navigation, Observation, Selection; Flash Plugin, Web Browser",Medium,"Sight, Sound",linear ,2.0,stable,English,ELO directory,Perfect,Creative Commons Attribution-ShareAlike 4.0 International,"Short story enriched with digital effects, such as sound effect and music"
7,Breath,"D. Knoebel, R. Strasser",collaboration,2001,https://the-next.eliterature.org/works/569/0/0/,2026-01-24,Riding the Meridian,Hypertext poetry,Poetry,Hypermedia,HTML,Graphical Navigation; Web Browser,Medium,"Sight, Sound",modular,1.0,multiple versions,English,ELO directory,Perfect,Creative Commons Attribution-ShareAlike 4.0 International,"Experimental and hypertextual poetry, which plays with colours and with the digital space"
8,Cruising,"I. Ankerson, M. Sapnar",collaboration,2001,https://the-next.eliterature.org/works/387/0/0/,2026-01-24,Poems That GO,"Kinetic, ""Flash"" poetry",Narrative,Ruffle plug-in,"HTML, JavaScript","Flash Plugin, Web Browser",Medium-High,"Sight, Sound","multimedia, linear",2.0,multiple versions,English,ELO directory,Perfect,Creative Commons Attribution-ShareAlike 4.0 International,"A voice reading a poem, while the user can control the speed of the narration. Reflexion on textual materiality"
9,DO IT,S. Bouchardon,person,2018,https://the-next.eliterature.org/works/2174/42/0/,2026-01-24,The New River Journal,Literary games,Narrative Fiction,"Mobile, interactive",unknown,"Graphical Navigation, Observation, Selection ",High,"Gesture, Haptic Feedback, Sight, Sound, Touch","multimedia, linear",1.0,updated,English,ELO directory,Perfect,Under consideration,"Mobile app made into an interactive, fictional story with four possible paths"
10,Enigma n,J. Andrews,person,1998,https://the-next.eliterature.org/works/263/4/0/,2026-01-24,Cauldron & Net,Literary games,Poetry,Web ,DHTML,"Graphical Navigation, Selection",Unverifiable,Sight,"multimedia, modular",1.0,unclear,English,ELO directory,Undergoing preservation,Creative Commons Attribution-ShareAlike 4.0 International,"Philosophical poetry toy, which plays with letters in the digital space anf questions what ls the meaning of language"
11,"Excerpt from ""We Descend""",B. Bly,person,1998,https://the-next.eliterature.org/works/494/1/0/,2026-01-24,Word Circuits,Hypertext fiction,Novel,Web,HTML,Web Browser,Medium,Sight,non-linear,1.1,updated,English,ELO directory,Perfect,"Copyright (c) 1997, 1998 Bill Bly","Hypertextual fictional novel meant for depicting our future, complete with diaries, letters, fragments"
12,Firefly,D. Larsen,person,2002,https://the-next.eliterature.org/works/369/0/0/,2026-01-24,Poems That GO,Hypertext poetry,Poetry,Ruffle plug-in,"HTML, JavaScript","Flash Plugin, Web Browser",Medium-High,Sight,"modular, non.linear, linear, multimedia, interactive",2.0,multiple versions,English,ELO directory,Perfect,Creative Commons Attribution-ShareAlike 4.0 International,Hypertextual poetry made by six stanzas with five lines each. Each line has five other alternatives
13,Four Guillenets,L. P. Glazier,person,2012,https://the-next.eliterature.org/works/2270/0/0/,2026-01-24,The New River Journal,Hypertext poetry,Poetry,Web,"CSS, HTML, JavaScript","Graphical Navigation, Observation, Selection; Web Browser",Medium,Sight,"non-linear, modular",1.0,stable,English,ELO directory,Perfect,"Copyright 2006-2013, The New River. All Rights Reserved","Hypertext exploring four sections of split text. Combinations outisde and between the text, how they intertwine "
14,Free Haiku,"The Dada Sprockets, I. Ankerson","collective, person",2002,https://the-next.eliterature.org/works/378/0/0/,2026-01-24,Poems That GO,Interactive fiction and literary games,Poetry,"Interactive, web, Conifer plug-in","HTML, JavaScript","Flash Plugin, Web Browser",Medium-High,Sight,modular,1.0,updated,English,ELO directory,Perfect,Creative Commons Attribution-ShareAlike 4.0 International,Animation putting in relation the feelings generated from the seasons to the relative and related words
15,Girl/Birth/Water/Death,M. Conway,person,1995,https://the-next.eliterature.org/works/538/0/0/,2026-01-24,Riding the Meridian,Hypertext fiction,Narrative,Web,unknown,unknown,Unverifiable,Sight,non-linear,1.0,unclear,English,ELO directory,Unavaiable,Creative Commons Attribution-ShareAlike 4.0 International,Hypertext with four different paths and related hyperlinks. A female character who's esitant to jump in the water
16,Language of the void,D. Larsen,person,1999,https://the-next.eliterature.org/works/575/0/0/,2026-01-24,Riding the Meridian,Hypertext poetry,Poetry,Web,unknown,unknown,Medium,Sight,"modular, non-linear",1.0,stable,English,ELO directory,Perfect,Creative Commons Attribution-ShareAlike 4.0 International,"Micro hypertext with eight nodes, and multiple hypertext links"
17,Light-Water: a Mosaic of Meditation,C. S. Sanford,person,1999,https://the-next.eliterature.org/works/2320/0/0/,2026-01-24,The New River Journal,Hypertext poetry,Poetry,"Multimedia, Web",DHTML,"Graphical Navigation, Observation; Web Browser",Medium,Sight,"non.linear, multimedia",1.0,stable,English,ELO directory,Perfect,Copyright 2006-2008 New River Journal. All Rights Reserved,A multimedia poetic hypertext. Series of guided reflections which pass from multimedia
18,Narrating Bits,"N. K. Hayles, E. Loyer, E. Rodenbeck, M. Migurski, T. Apodaca",collaboration,2005,https://the-next.eliterature.org/works/1559/0/0/,2026-01-24,Vectors,Interactive fiction,Essay,Web,"CSS, JavaScript, PHP, SQL, XHTML","Flash Plugin, Web Browser",Medium-High,Sight,"modular, non-linear",1.0,stable,English,ELO directory,Partial,Creative Commons some rights reserved,A word embedding visualization of many different words in a single text
19,Public Secrets,"S. Daniel, E. Loyer",collaboration,2007,https://the-next.eliterature.org/works/703/0/0/,2026-01-24,Vectors,Local narrative and installation,Essay,Playthrough plug-in,"CSS, HTML, JavaScript","Flash plugin, Web browser",High,"Sight, Sound","database, hypermedia",1.0,multiple versions,English,ELO directory,Perfect,CC some rights reserved,"Essay starting from a woman's narration, which opens and reveals the multiple narrations of women in California prison"
20,Reach,M. Joyce,person,2001,https://the-next.eliterature.org/works/430/0/0/,2026-01-24,Riding the Meridian,Hypertext fiction,Narrative,Web,unknown,unknown,High,Sight,"hypertext, non.linear",1.0,multiple versions,English,ELO directory,Perfect,Creative Commons Attribution-ShareAlike 4.0 International,"Every sentence in this hypertextual work is a link, creating a thick mechanism of intertwinings"